QueryName,WeeklySales_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceData,SalesView_Updated2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Server,Abacus_Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,21.31.312.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config Mode,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Date,January 1st 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Time,4:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,XXRP-SYSTEMEXTRACT-ADMIN-20200101-WEEKLYSALES_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Store,Cat,Ref1,04/01/2022 00:00,11/01/2022 00:00,18/01/2022 00:00,25/01/2022 00:00,01/02/2022 00:00,08/02/2022 00:00,15/02/2022 00:00,22/02/2022 00:00,01/03/2022 00:00,08/03/2022 00:00,15/03/2022 00:00,22/03/2022 00:00,29/03/2022 00:00,05/04/2022 00:00,12/04/2022 00:00,19/04/2022 00:00,26/04/2022 00:00,03/05/2022 00:00,10/05/2022 00:00,17/05/2022 00:00,24/05/2022 00:00,31/05/2022 00:00,07/06/2022 00:00,14/06/2022 00:00,21/06/2022 00:00,28/06/2022 00:00,05/07/2022 00:00,12/07/2022 00:00,19/07/2022 00:00,26/07/2022 00:00,02/08/2022 00:00,09/08/2022 00:00,16/08/2022 00:00,23/08/2022 00:00,30/08/2022 00:00,06/09/2022 00:00,13/09/2022 00:00,20/09/2022 00:00,27/09/2022 00:00,04/10/2022 00:00,11/10/2022 00:00,18/10/2022 00:00,25/10/2022 00:00,01/11/2022 00:00,08/11/2022 00:00,15/11/2022 00:00,22/11/2022 00:00,29/11/2022 00:00,06/12/2022 00:00,13/12/2022 00:00,20/12/2022 00:00,27/12/2022 00:00
Sales,1,1,11XXRP,23510.49,36988.49,54060.1,20124.22,20113.03,21140.07,22366.88,22107.7,28952.86,57592.12,34684.21,16976.19,16347.6,17147.44,18164.2,18517.79,16963.55,16065.49,17666,17558.82,16633.41,15722.82,17823.37,16566.18,16348.06,15731.18,16628.31,16119.92,17330.7,16286.4,16680.24,18322.37,19616.22,19251.5,18947.81,21904.47,22764.01,24185.27,27390.81,23031.32542,25466.00352,29434.62724,35661.79834,31291.5606,36906.62191,40869.70544,53424.89134,33250.00031,29802.28045,24973.09504,26948.83525,22834.15942
,1,2,12XXRP,54322.24,50581.06,46085.47,47080.12,52608.51,48563.69,47346.32,44796.03,46529.68,51805.88,43991.18,45561.85,45456.23,50501.3,46717.76,44411.23,45817.07,47425.29,49439.58,46637.48,46075,47629.14,49771.92,44411.95,45108.22,45008.22,49424.06,46729.91,46350.97,44972.52,50995.5,47344.5,44493.61,43541.07,45784.76,48577.08,42112.67,42354.72,43134.88,44209.80911,46992.63448,52250.16169,61318.39115,51997.40809,58818.08412,62548.81696,78654.27168,47520.96118,41287.18688,33448.72854,34970.98114,29244.55355
,1,3,13XXRP,12485.78,12388.85,10237.78,10502.4,11387.31,11925.71,8845.73,7910.22,9129.23,9335.24,7927.73,8647.36,8635.62,10655.35,10342.72,8609.82,8345.33,7175.77,8614.64,8016.26,7301.41,7577.59,8473.71,13126.15,20126.95,22716.7,30331.69,28257.3,31905.97,43712.78,50701.3,18368.51,14288.22,13403.63,13085.95,11676.98,10487.17,8548.87,9350.9,18819.39668,18881.59193,19182.4089,19626.85053,13538.75128,11863.4144,9321.57387,7525.256908,2694.927181,576.1229983,0,0,1173.743081
,1,4,14XXRP,40274.83,39305.13,36550.46,34953.85,38459.98,38934.77,38125.32,36586.52,37718.51,42060.21,37449.26,36350.03,36894.54,41897.55,35840.06,34536.29,38270.34,41566.55,41124.27,39019.74,37400.31,39758.77,44936.96,38073.91,38080.05,35197.59,41305.39,40343.83,38105.9,36674.67,37802.97,39549.27,35044.06,34507.34,34647.33,39311.93,35446.18,35549.19,36292.6,35406.17716,37505.74532,41396.09672,48342.93064,41274.76892,46781.76506,49842.33371,62275.01499,37662.51299,32931.32965,26745.63741,28030.37198,23208.48554
,1,5,15XXRP,28307.43,38096.04,46219.96,30797.88,30642.53,25492.21,29345.72,25442.13,22392.09,28386.81,18458.33,16645.01,17170.39,18953.07,17277.63,17955.73,18625.67,17233.25,24752.99,21376.63,24337.24,20233.9,19684.48,18089.61,17896.46,14105.4,17615.28,18232.46,15440.65,22446.23,18615.76,18236.15,19369.52,25798.78,22560.39,25508.81,20920.03,20413.83,25846.94,22488.96137,24652.70652,28831.55822,35053.53609,30607.98406,35889.81854,39526.03458,50706.86976,31203.97312,27759.23438,22729.13165,24650.80408,20746.17965
,1,6,16XXRP,3981.09,7338.85,4223.42,3784.06,6464.52,4183.3,3905.72,2856.83,4540.27,4764.43,4500.12,2988.96,3319.32,4658.18,3574.83,6030.81,5131.26,3249.75,4888.46,4087.58,4870.31,4774.5,2828.03,2776.97,3496.53,2545.65,3412.58,-139.65,2725.3,2626.5,2987.07,2576.64,3073.31,4159.51,3168.68,3843.29,3788.59,3496.69,4032.5,3201.917789,3517.32808,4193.045039,5319.182138,4639.266545,5459.582368,6166.555597,8086.285613,5150.339378,4349.926308,3608.316092,3855.880207,3258.192385
,1,7,17XXRP,16556.71,21619.05,16849.62,15956.87,16473.91,17500.24,20690.01,15628.59,18684,27171.41,21302.3,19056.92,18704.53,22956.83,23036.8,19180.11,28671.98,31568.92,30052.56,26249.22,24777.12,24077.39,27364.96,18427.17,16528.1,17171.35,16916.29,16552.49,16256.91,15159.94,15802.09,16941.42,15525.82,22542.44,22343.24,22071.39,20212.71,21937.45,21449.85,18464.43779,20231.18046,23270.34988,28298.46023,25380.99707,29696.01014,32405.26469,41991.19885,25828.85883,22900.96993,18885.49715,20009.43997,16650.3335
,1,8,18XXRP,40069.47,38317.89,37244.73,37204.72,40307.19,36553.82,36141.27,33758.45,37745.71,41917.56,37295.29,36930.94,38531.76,41589.1,37702.53,37817.25,39067,41039.74,40236.23,38163.76,37693.88,37647.44,41524.67,36130.01,37797.31,36981.9,40098.84,37269.92,36294.18,33855.28,37666.92,38666.21,37346.83,36404.63,37254.84,42663.75,37248.47,38668.75,39255.35,38248.37563,41022.29943,46069.34492,54429.04563,46719.30791,53470.33671,57763.31644,73776.9358,45195.86759,39791.19036,32603.95014,34333.83507,28671.95162
,1,9,19XXRP,19427.31,20985.41,23867.82,25957.89,30503.3,28291.68,37941.84,33541.36,50382.47,41235.34,33136.94,28111.87,30359.94,31552.3,28043.48,26160.37,29338.57,35001.66,30307.11,30249.01,28249.43,25081.23,32851.76,21464.73,22594.18,22921.21,23780.97,20400.88,23503.86,26262.95,41634.69,42920.95,31882.98,33889.72,40712.85,40439.53,37126.23,36690.81,41040.84,40391.35811,45072.96968,52574.51186,64076.20833,57099.49715,67083.59546,74014.05945,96446.61953,59607.79052,52613.71461,43285.89951,46071.11975,39608.6223
,1,10,110XXRP,33524.28,37764.38,40409.5,37507.44,39036.14,34858.03,33405.1,33327.09,43718.05,36666.29,29709.53,30838.26,29433.27,35800.66,32271.72,30339.17,34203.35,37294.14,36155.27,32578.62,32851.06,33135.34,39189.33,31430.55,29187.22,30594.53,32794.21,33834.22,29723.55,27884.19,28490.93,30851.75,31705.09,29203.63,27205.4,27822.4,27803.78,29442.38,26285.27,26879.08353,28209.25662,31040.37461,35975.11005,30802.69184,34736.59593,36466.33376,45518.99903,27284.84202,23843.02662,19174.51488,19800.96245,16099.78193
,1,11,111XXRP,22429.17,25933.04,26269.87,21750.64,23286.46,23169.16,24841.76,24350.67,25231.25,28971.93,21874.45,21787.83,20710.01,31670.38,28842.32,23346.03,26925.54,32406.68,35861.22,27802.84,26407.67,44553.45,36266.25,25922.59,26026.46,33443.23,27759.99,24145.93,20281.68,20462.68,21103.42,23338.99,17027.47,18161.43,17242.78,22374.18,21857.09,18259.82,22399.83,16259.48389,15961.64879,15993.21619,19402.73574,16422.89416,17605.0971,17712.76624,22708.24696,13493.8372,11369.50669,8646.235754,8473.287744,6545.110452
,1,12,112XXRP,9612.87,9587.35,9262.33,11284.27,11994.48,11947.03,12178.8,11448.84,12109.21,10747.37,10565.39,11730.26,11746.83,12338.08,11420.63,10199.01,12748.13,11542.81,10742.68,11177.52,9606.33,11816.35,13887.61,9318.1,12565.06,11109.25,11298.13,10605.66,11447.03,10723.59,10591.46,12566.45,10484.08,9448.14,11013.77,10037.09,8983.82,10830.48,8658.41,9799.486579,10315.26962,11147.2954,12918.93271,11045.06619,12145.38255,12988.83773,16230.17837,9666.356514,8252.283353,6642.241938,6873.865843,5587.48117
